year,Base case cost,Modeled biomass for heat (cordwood)
2017,635965.206079,845934.872948
2018,710256.246079,900866.778452
2019,809310.966079,974109.319123
2020,858838.326079,1010730.58946
2021,891856.566079,1035144.76968
2022,919371.766079,1055489.91987
2023,935880.886079,1067697.00998
2024,949638.486079,1077869.58507
2025,968899.126079,1092111.1902
2026,990911.286079,1108387.31035
2027,1007420.40608,1120594.40046
2028,1023929.52608,1132801.49058
2029,1043190.16608,1147043.09571
2030,1054196.24608,1155181.15578
2031,1076208.40608,1171457.27593
2032,,
2033,,
2034,,
2035,,
2036,,
