year,Base case cost,Modeled solar power (pv)
2016,693900.899583,708494.510995
2017,811188.37766,824209.051013
2018,901115.240657,913046.703396
2019,1020856.40269,1031313.24357
2020,1083531.13898,1093413.87435
2021,1134023.63066,1143541.08724
2022,1177123.5242,1186405.7458
2023,1214288.87264,1223438.42778
2024,1247062.36531,1256155.17733
2025,1283983.03782,1292973.02504
2026,1325753.37167,1334595.57804
2027,1364361.3847,1373106.60267
2028,1402137.6535,1410812.02277
2029,1444931.31744,1453490.5283
2030,1480366.23777,1488905.64815
2031,1526937.75941,1535344.26035
2032,1574229.45922,1582506.31356
2033,1624929.6946,1633057.57445
2034,1677037.97063,1685020.41268
2035,1719194.55388,1727145.98638
