year,Base case diesel consumed,Modeled residential energy efficiency
2017,101031.602293,73423.6000828
2018,103512.697798,75904.6955882
2019,106820.825139,79212.8229287
2020,110128.952479,82520.9502693
2021,113437.07982,85829.0776098
2022,116745.20716,89137.2049503
2023,120880.366336,93272.3641259
2024,124188.493676,96580.4914665
2025,128323.652852,100715.650642
2026,131631.780192,104023.777983
2027,135766.939368,108158.937158
2028,139075.066709,111467.064499
2029,143210.225884,115602.223674
2030,147345.38506,119737.38285
2031,151480.544235,123872.542026
2032,155615.703411,128007.701201
2033,159750.862587,132142.860377
2034,163886.021762,136278.019553
2035,168021.180938,140413.178728
2036,172983.371949,145375.369739
