year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,4983998.73,11683.08,649820.39,619651.78
2018,5180622.86,11814.94,649820.39,635994.84
2019,5321695.58,11909.56,649820.39,647137.83
2020,5471759.28,12010.16,649820.39,659766.55
2021,5643444.15,12125.32,649820.39,673881.01
2022,5778951.03,12216.25,649820.39,685024.0
2023,5908035.78,12302.83,649820.39,695424.13
2024,6013358.66,12373.41,649820.39,704338.52
2025,6130241.38,12451.84,649820.39,713995.78
2026,6265213.08,12542.38,649820.39,725138.77
2027,6437647.19,12657.99,649820.39,739253.23
2028,6626350.69,12784.59,649820.39,754853.41
2029,6549713.31,12733.18,649820.39,748167.62
2030,6536762.02,12724.48,649820.39,747424.75
2031,6598735.54,12766.07,649820.39,751881.95
2032,6867073.42,,,774167.93
2033,7203699.91,,,801653.98
2034,7542360.08,,,829882.89
2035,7826432.17,,,852911.74
2036,8017383.41,,,868511.93
