year,Base case diesel consumed,Chenega bay hydroelectric construction -- anderson creek,South lake creek (chenega bay),Chenega bay -- anderson creek,Thumb bay (unnamed creek),"New chenega (crab bay, chenega bay) -- unnamed creek, near crab bay",Hayden lake
2018,25793.5355026,17769.2326013,,,,,
2019,25707.2694976,17682.9665962,,,,,
2020,25707.2694976,17682.9665962,,,,,
2021,25707.2694976,17682.9665962,0.0,9733.82195798,10621.2357091,14225.3401428,19791.1778174
2022,25707.2694976,17682.9665962,0.0,9733.82195798,10621.2357091,14225.3401428,19791.1778174
2023,25707.2694976,17682.9665962,0.0,9733.82195798,10621.2357091,14225.3401428,19791.1778174
2024,25707.2694976,17682.9665962,0.0,9733.82195798,10621.2357091,14225.3401428,19791.1778174
2025,25707.2694976,17682.9665962,0.0,9733.82195798,10621.2357091,14225.3401428,19791.1778174
2026,25707.2694976,17682.9665962,0.0,9733.82195798,10621.2357091,14225.3401428,19791.1778174
2027,25707.2694976,17682.9665962,0.0,9733.82195798,10621.2357091,14225.3401428,19791.1778174
2028,25707.2694976,17682.9665962,0.0,9733.82195798,10621.2357091,14225.3401428,19791.1778174
2029,25621.0034926,17596.7005912,0.0,9647.55595296,10534.9697041,14139.0741378,19704.9118124
2030,25621.0034926,17596.7005912,0.0,9647.55595296,10534.9697041,14139.0741378,19704.9118124
2031,25621.0034926,17596.7005912,0.0,9647.55595296,10534.9697041,14139.0741378,19704.9118124
2032,25621.0034926,17596.7005912,0.0,9647.55595296,10534.9697041,14139.0741378,19704.9118124
2033,25621.0034926,17596.7005912,0.0,9647.55595296,10534.9697041,14139.0741378,19704.9118124
2034,25621.0034926,17596.7005912,0.0,9647.55595296,10534.9697041,14139.0741378,19704.9118124
2035,25621.0034926,17596.7005912,0.0,9647.55595296,10534.9697041,14139.0741378,19704.9118124
2036,25621.0034926,17596.7005912,0.0,9647.55595296,10534.9697041,14139.0741378,19704.9118124
2037,25621.0034926,17596.7005912,0.0,9647.55595296,10534.9697041,14139.0741378,19704.9118124
2038,25621.0034926,17596.7005912,0.0,9647.55595296,10534.9697041,14139.0741378,19704.9118124
2039,25534.7374876,17510.4345862,0.0,9561.28994793,10448.703699,14052.8081327,19618.6458074
2040,25534.7374876,17510.4345862,0.0,9561.28994793,10448.703699,14052.8081327,19618.6458074
2041,25534.7374876,17510.4345862,0.0,9561.28994793,10448.703699,14052.8081327,19618.6458074
2042,25534.7374876,17510.4345862,0.0,9561.28994793,10448.703699,14052.8081327,19618.6458074
2043,25534.7374876,17510.4345862,0.0,9561.28994793,10448.703699,14052.8081327,19618.6458074
2044,25534.7374876,17510.4345862,0.0,9561.28994793,10448.703699,14052.8081327,19618.6458074
2045,25534.7374876,17510.4345862,0.0,9561.28994793,10448.703699,14052.8081327,19618.6458074
2046,25534.7374876,17510.4345862,0.0,9561.28994793,10448.703699,14052.8081327,19618.6458074
2047,25534.7374876,17510.4345862,0.0,9561.28994793,10448.703699,14052.8081327,19618.6458074
2048,25534.7374876,17510.4345862,0.0,9561.28994793,10448.703699,14052.8081327,19618.6458074
2049,25534.7374876,17510.4345862,0.0,9561.28994793,10448.703699,14052.8081327,19618.6458074
2050,25534.7374876,17510.4345862,0.0,9561.28994793,10448.703699,14052.8081327,19618.6458074
