year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,36249.2937467,26824.4773726
2018,36249.2937467,26824.4773726
2019,36249.2937467,26824.4773726
2020,36249.2937467,26824.4773726
2021,36249.2937467,26824.4773726
2022,36249.2937467,26824.4773726
2023,36249.2937467,26824.4773726
2024,36249.2937467,26824.4773726
2025,36249.2937467,26824.4773726
2026,36249.2937467,26824.4773726
2027,36249.2937467,26824.4773726
2028,36249.2937467,26824.4773726
2029,36249.2937467,26824.4773726
2030,36249.2937467,26824.4773726
2031,36249.2937467,26824.4773726
