year,Base case cost,Modeled biomass for heat (pellet)
2017,128414.272491,139746.029743
2018,141463.912491,149055.040574
2019,159950.902491,162242.805918
2020,168650.662491,168448.813138
2021,174812.992491,172844.734919
2022,179525.362491,176206.322164
2023,182787.772491,178533.574872
2024,185325.202491,180343.660311
2025,188587.612491,182670.913019
2026,192575.002491,185515.332995
2027,195837.412491,187842.585702
2028,198737.332491,189911.254776
2029,202362.232491,192497.091118
2030,204537.172491,194048.592923
2031,208524.562491,196893.012899
2032,,
2033,,
2034,,
2035,,
2036,,
