year,Base case cost,Modeled water and wastewater efficiency
2017,44691.6592297,34496.9364053
2018,47864.7400809,36611.8993779
2019,52132.380762,39456.7248447
2020,54211.5578528,40842.4227157
2021,55634.284443,41790.3398115
2022,56728.8228703,42519.4270472
2023,57495.1696081,43029.5895547
2024,58042.693217,43393.8769225
2025,58809.2295007,43904.0940127
2026,59794.8099107,44560.2919092
2027,60561.6316843,45070.5371494
2028,61109.6440193,45434.8376221
2029,61985.6680543,46018.5696865
2030,62533.4266394,46383.2487564
2031,63519.4400087,47039.7475739
