year,Base case diesel consumed,Modeled non-residential ashp
2017,47258.4236189,38057.5444807
2018,48649.6962081,39448.8170698
2019,48649.6962081,39448.8170698
2020,48649.6962081,39448.8170698
2021,48649.6962081,39448.8170698
2022,48649.6962081,39448.8170698
2023,48649.6962081,39448.8170698
2024,50040.9687972,40840.0896589
2025,50040.9687972,40840.0896589
2026,50040.9687972,40840.0896589
2027,50040.9687972,40840.0896589
2028,50040.9687972,40840.0896589
2029,51432.2413863,42231.362248
2030,51432.2413863,42231.362248
2031,51432.2413863,42231.362248
