year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,299721.2,11633.93,228033.96,96949.18
2018,300371.51,11635.05,228033.96,98056.17
2019,300877.31,11635.74,228033.96,98056.17
2020,301166.33,11636.22,228033.96,98056.17
2021,301310.85,11636.52,228033.96,98056.17
2022,301238.59,11636.41,228033.96,98056.17
2023,301021.82,11635.99,228033.96,98056.17
2024,300588.28,11635.31,228033.96,98056.17
2025,300082.48,11634.54,228033.96,96949.18
2026,299504.43,11633.68,228033.96,96949.18
2027,298926.37,11632.75,228033.96,96949.18
2028,298276.06,11631.66,228033.96,96949.18
2029,297047.7,11629.83,228033.96,95842.18
2030,295891.59,11627.93,228033.96,95842.18
2031,294735.48,11626.15,228033.96,94735.19
2032,293796.14,,,94735.19
2033,292856.8,,,94735.19
2034,291845.21,,,93628.2
2035,290616.84,,,93628.2
2036,289316.22,,,93628.2
