year,Base case diesel consumed,Modeled diesel efficiency
2019,300877.306861,273524.824419
2020,301166.334053,273787.576412
2021,301310.847649,273918.952408
2022,301238.590851,273853.26441
2023,301021.820457,273656.200415
2024,300588.279669,273262.072426
2025,300082.482083,272802.256439
2026,299504.427699,272276.752454
2027,298926.373315,271751.248468
2028,298276.062133,271160.056485
2029,297047.696567,270043.360515
2030,295891.587799,268992.352545
2031,294735.479031,267941.344574
2032,293796.140657,267087.400597
2033,292856.802283,266233.456621
2034,291845.207111,265313.824647
2035,290616.841545,264197.128678
2036,289316.219181,263014.74471
2037,287798.826423,261635.296749
2038,286281.433665,260255.848787
