year,Base case diesel consumed,Modeled solar power (pv)
2016,298781.859719,294199.753397
2017,299721.198093,295175.748622
2018,300371.509275,295862.423399
2019,300877.306861,296404.293672
2020,301166.334053,296729.10497
2021,301310.847649,296909.116398
2022,301238.590851,296872.07345
2023,301021.820457,296690.235196
2024,300588.279669,296291.34709
2025,300082.482083,295819.924964
2026,299504.427699,295275.971037
2027,298926.373315,294731.744307
2028,298276.062133,294114.990157
2029,297047.696567,292919.913167
2030,295891.587799,291796.826666
2031,294735.479031,290673.475987
2032,293796.140657,289766.633637
2033,292856.802283,288859.53132
2034,291845.207111,287879.914315
2035,290616.841545,286683.271092
