year,Base case cost,Modeled water and wastewater efficiency
2017,8836.86553717,11889.23833
2018,9364.16737493,12248.9074759
2019,10118.5549907,12763.6298859
2020,10507.2724511,13028.9922487
2021,10758.9665426,13200.8819356
2022,10978.2737561,13350.7603083
2023,11139.4001976,13460.9565468
2024,11268.8489167,13549.6372838
2025,11442.6613664,13668.628714
2026,11643.2408967,13805.9503952
2027,11823.6862707,13929.5231809
2028,11968.0884393,14028.5488653
2029,12225.3859094,14205.1890462
2030,12418.2209163,14337.7922034
2031,12659.6246555,14503.3541762
