year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,1318.81803012,857.231719577
2018,1319.34756124,857.575914807
2019,1321.60098142,859.040637921
2020,1324.0608406,860.639546387
2021,1326.28999802,862.088498713
2022,1329.23264483,864.001219139
2023,1332.14115929,865.891753541
2024,1335.87734886,868.32027676
2025,1340.13141795,871.085421667
2026,1345.09308208,874.310503353
2027,1349.88901928,877.427862535
2028,1355.0025655,880.751667574
2029,1365.94287316,887.862867553
2030,1376.1846329,894.520011386
2031,1384.884954,900.1752201
