year,Base case cost,Modeled biomass for heat (pellet)
2017,5934.34673031,6452.22577258
2018,6393.34673031,6779.63785312
2019,7039.34673031,7240.44004054
2020,7362.34673031,7470.84113425
2021,7566.34673031,7616.35761449
2022,7736.34673031,7737.62134802
2023,7855.34673031,7822.5059615
2024,7940.34673031,7883.13782826
2025,8059.34673031,7968.02244174
2026,8195.34673031,8065.03342856
2027,8314.34673031,8149.91804203
2028,8399.34673031,8210.5499088
2029,8535.34673031,8307.56089563
2030,8620.34673031,8368.19276239
2031,8756.34673031,8465.20374922
2032,,
2033,,
2034,,
2035,,
2036,,
