year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2003,,1.34,
2005,,1.82,4.26
2008,,3.11,7.29
2009,,4.05,7.86
2010,,2.86,6.08
2011,,3.04,6.19
2012,,3.58,6.82
2013,,3.84,7.74
2014,,,7.67
2016,,1.8,4.0
2017,,2.14,4.34
2018,,2.39,4.59
2019,,2.74,4.94
2020,,2.9,5.1
2021,,3.02,5.22
2022,,3.1,5.3
2023,,3.16,5.36
2024,,3.21,5.41
2025,,3.26,5.46
2026,,3.34,5.54
2027,,3.39,5.59
2028,,3.44,5.64
2029,,3.51,5.71
2030,,3.55,5.75
2031,,3.62,5.82
2032,,3.69,5.89
2033,,3.77,5.97
2034,,3.84,6.04
2035,,3.89,6.09
2036,,3.97,6.17
2037,,4.01,6.21
2038,,4.09,6.29
2039,,4.15,6.35
2040,,4.24,6.44
