year,Base case cost,Modeled diesel efficiency
2019,580159.666655,828261.248671
2020,622854.800995,860023.990672
2021,656674.138857,883883.084994
2022,682135.172925,900305.10629
2023,703158.007945,912850.003667
2024,721622.625796,923223.157732
2025,741982.236257,935469.333847
2026,769505.682601,954374.866817
2027,793742.803226,970436.169545
2028,815820.128839,984674.001444
2029,845579.014226,1006031.76784
2030,869832.700627,1022518.30244
2031,897629.922678,1042356.59878
2032,925567.190596,1062449.51983
2033,956720.897758,1085590.80303
2034,985777.54859,1106947.08394
2035,1010338.84234,1124335.24351
2036,1042792.09001,1149013.69467
2037,1067449.93247,1166718.48808
2038,1100472.87529,1192138.34225
