year,Base case diesel consumed,Modeled wind power
2019,211737.104619,195648.530326
2020,214777.517585,198688.943292
2021,217441.767833,201353.193541
2022,220043.60417,203955.029877
2023,222518.356945,206429.782652
2024,224804.556323,208715.98203
2025,227601.912962,211513.33867
2026,230390.922935,214302.348642
2027,234142.419831,218053.845538
2028,237157.014197,221068.439904
2029,240905.702059,224817.127766
2030,245023.295951,228934.721658
2031,247964.067038,231875.492745
2032,250831.216964,234742.642671
2033,253772.121421,237683.547128
2034,256712.903279,240624.328986
2035,259727.208828,243638.634535
2036,262668.032749,246579.458456
2037,266196.990641,250108.416349
2038,269064.272687,252975.698394
