year,Base case diesel consumed,Modeled diesel efficiency
2019,211737.104619,192488.276926
2020,214777.517585,195252.288713
2021,217441.767833,197674.334394
2022,220043.60417,200039.640154
2023,222518.356945,202289.415404
2024,224804.556323,204367.778475
2025,227601.912962,206910.829966
2026,230390.922935,209446.293577
2027,234142.419831,212856.745301
2028,237157.014197,215597.285634
2029,240905.702059,219005.18369
2030,245023.295951,222748.450865
2031,247964.067038,225421.879126
2032,250831.216964,228028.379058
2033,253772.121421,230701.928565
2034,256712.903279,233375.366617
2035,259727.208828,236115.644389
2036,262668.032749,238789.120681
2037,266196.990641,241997.264219
2038,269064.272687,244603.884261
