year,Base case cost,Medvejia lake (unnamed stream) -- unnamed creek,Lake irina,Bill d short (baranof river) -- baranof lake,Baranof lake,Swan lake 1 (cascade creek),Carbon lake,Hidden falls creek (kasnyku bay) -- hidden falls lake,Four falls lake,Kelp lake,Kasnyku lake (waterfall cove),Nelson lakes,Milk lake,Waxman (waxman creek),Redoubt lake (unnamed cascade) -- unnamed creek,Takatz lake hydroelectric feasibility analysis,Takatz lake (sitka) -- takatz creek
2021,495768.639238,1130054.26966,649216.641308,780728.797178,4446314.36767,30615484.2035,13597694.6145,935596.898028,1165805.33937,24853492.979,3645425.19993,6073909.32493,12574774.056,1671724.18129,856993.719413,20682969.079,35843563.3309
2022,513580.686157,1128925.14018,643412.45832,798312.161765,4442242.55563,30584785.9956,13581518.4157,935173.474471,1156077.41023,24829062.1067,3642267.8716,6068263.67751,12562558.6199,1670453.91062,856429.154671,20644990.1776,35805172.9284
2023,523971.046859,1128266.48131,640026.68491,808569.12444,4439867.33193,30566878.7077,13572082.2998,934926.477396,1150402.7849,24814810.7646,3640426.09675,6064970.38318,12555432.9488,1669712.91939,856099.825238,20622835.8184,35782778.5269
2024,534361.407562,1127607.82244,636640.9115,818826.087116,4437492.10824,30548971.4198,13562646.1838,934679.480321,1144728.15957,24800559.4224,3638584.32189,6061677.08885,12548307.2777,1668971.92817,855770.495805,20600681.4592,35760384.1255
2025,544751.768265,1126949.16358,633255.13809,829083.049792,4435116.88455,30531064.1319,13553210.0679,934432.483246,1139053.53423,24786308.0802,3636742.54704,6058383.79451,12541181.6067,1668230.93694,855441.166372,20578527.1,35737989.724
2026,558110.803454,1126102.31646,628902.000848,842270.573232,4432063.02551,30508040.476,13541077.9188,934114.915579,1131757.58738,24767984.926,3634374.5508,6054149.55895,12532020.0295,1667278.23394,855017.742815,20550042.924,35709196.9221
2027,569985.5014,1125349.56347,625032.545523,853992.81629,4429348.48415,30487575.004,13530293.7863,933832.633207,1125272.30128,24751697.6779,3632269.66525,6050385.794,12523876.4055,1666431.38683,854641.36632,20524723.6563,35683603.3205
2028,580375.862102,1124690.90461,621646.772113,864249.778965,4426973.26046,30469667.7161,13520857.6703,933585.636132,1119597.67595,24737446.3357,3630427.89039,6047092.49967,12516750.7344,1665690.3956,854312.036887,20502569.2972,35661208.919
2029,593734.897291,1123844.05749,617293.634871,877437.302405,4423919.40142,30446644.0602,13508725.5213,933268.068465,1112301.72909,24719123.1815,3628059.89415,6042858.2641,12507589.1573,1664737.6926,853888.61333,20474085.1211,35632416.1171
2030,601156.583507,1123373.58687,614875.225293,884763.704316,4422222.81307,30433853.1403,13501985.4384,933091.641983,1108248.42528,24708943.6514,3626744.34069,6040505.91101,12502499.3922,1664208.41315,853653.378021,20458260.5788,35616420.1161
