year,Base case cost,Modeled biomass for heat (pellet)
2017,4838613.15726,5747103.09557
2018,5418234.59726,6160612.51557
2019,6215214.07726,6729187.96806
2020,6595590.64726,7000553.52493
2021,6849175.02726,7181463.89618
2022,7066533.06726,7336529.92868
2023,7193325.25726,7426985.1143
2024,7320117.44726,7517440.29993
2025,7446909.63726,7607895.48555
2026,7609928.16726,7724195.00993
2027,7754833.52726,7827572.36493
2028,7881625.71726,7918027.55055
2029,8044644.24726,8034327.07492
2030,8135210.09726,8098937.9218
2031,8316341.79726,8228159.61555
2032,,
2033,,
2034,,
2035,,
2036,,
