year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,1811317.0,1292216.93748
2018,1811317.0,1292216.93748
2019,1811317.0,1292216.93748
2020,1811317.0,1292216.93748
2021,1811317.0,1292216.93748
2022,1811317.0,1292216.93748
2023,1811317.0,1292216.93748
2024,1811317.0,1292216.93748
2025,1811317.0,1292216.93748
2026,1811317.0,1292216.93748
2027,1811317.0,1292216.93748
2028,1811317.0,1292216.93748
2029,1811317.0,1292216.93748
2030,1811317.0,1292216.93748
2031,1811317.0,1292216.93748
2032,,
2033,,
2034,,
2035,,
2036,,
