year,Base case cost,Modeled residential energy efficiency
2017,415728.427487,434051.405753
2018,434551.338677,446198.759132
2019,455649.699824,458722.314016
2020,462302.633701,460412.392405
2021,471113.538017,465115.191364
2022,471747.541479,462332.679548
2023,470307.765513,458004.842559
2024,462307.611879,447319.844015
2025,460650.934392,442856.322727
2026,460012.166083,439125.645256
2027,458068.95697,434453.047112
2028,455490.716516,429344.914886
2029,441641.810793,412678.360778
2030,432006.387394,400747.306977
2031,424285.876992,390117.466918
2032,428946.441128,391902.69036
2033,427181.139181,387295.24007
2034,432236.453132,389378.694096
2035,435252.161155,390102.700822
2036,426683.491244,378786.864435
