year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,90920.0,84049.0597771
2018,90920.0,84049.0597771
2019,90181.0,83310.0597771
2020,89442.0,82571.0597771
2021,89439.0,82568.0597771
2022,88699.0,81828.0597771
2023,87957.0,81086.0597771
2024,86478.0,79607.0597771
2025,85735.0,78864.0597771
2026,84993.0,78122.0597771
2027,84253.0,77382.0597771
2028,83512.0,76641.0597771
2029,81290.0,74419.0597771
2030,79806.0,72935.0597771
2031,78326.0,71455.0597771
2032,78323.0,71452.0597771
2033,77586.0,70715.0597771
2034,77585.0,70714.0597771
2035,77582.0,70711.0597771
2036,76104.0,69233.0597771
