year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,26367.3358027,19511.828494
2018,26367.3358027,19511.828494
2019,26367.3358027,19511.828494
2020,26367.3358027,19511.828494
2021,26367.3358027,19511.828494
2022,26367.3358027,19511.828494
2023,26367.3358027,19511.828494
2024,26367.3358027,19511.828494
2025,26367.3358027,19511.828494
2026,26367.3358027,19511.828494
2027,26367.3358027,19511.828494
2028,26367.3358027,19511.828494
2029,26367.3358027,19511.828494
2030,26367.3358027,19511.828494
2031,26367.3358027,19511.828494
