year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,90920.0,83361.9657548
2018,90920.0,83361.9657548
2019,90181.0,82622.9657548
2020,89442.0,81883.9657548
2021,89439.0,81880.9657548
2022,88699.0,81140.9657548
2023,87957.0,80398.9657548
2024,86478.0,78919.9657548
2025,85735.0,78176.9657548
2026,84993.0,77434.9657548
2027,84253.0,76694.9657548
2028,83512.0,75953.9657548
2029,81290.0,73731.9657548
2030,79806.0,72247.9657548
2031,78326.0,70767.9657548
2032,78323.0,70764.9657548
2033,77586.0,70027.9657548
2034,77585.0,70026.9657548
2035,77582.0,70023.9657548
2036,76104.0,68545.9657548
