year,Base case cost,Modeled water and wastewater efficiency
2017,27248.0231569,26871.2480171
2018,28739.5188563,27675.3842103
2019,30815.377394,28866.7489065
2020,31769.3676762,29324.1810751
2021,32462.1786802,29613.0839214
2022,32942.4153348,29766.0019054
2023,33256.2286429,29812.318994
2024,33506.6943176,29820.1523878
2025,33814.9256189,29870.2387801
2026,34223.7014404,29989.8746942
2027,34539.5563573,30052.1099991
2028,34808.4256188,30087.1852952
2029,35097.4019698,30135.5445754
2030,35251.0450381,30098.6225121
2031,35628.4709833,30213.2081312
