year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,4691.72782514,3049.62308634
2018,4691.67303158,3049.58747052
2019,4688.2850078,3047.38525507
2020,4684.78253835,3045.10864992
2021,4681.76808252,3043.14925364
2022,4676.68982571,3039.84838671
2023,4670.81260856,3036.02819556
2024,4663.43653097,3031.23374513
2025,4656.40190098,3026.66123563
2026,4649.87876756,3022.42119891
2027,4644.78890424,3019.11278775
2028,4639.72387347,3015.82051775
2029,4624.72717165,3006.07266157
2030,4612.28903241,2997.98787107
2031,4602.6556219,2991.72615424
