year,Base case cost,Modeled biomass for heat (pellet)
2017,228329.506981,242366.208082
2018,254696.306981,266348.139049
2019,289600.339122,297964.862403
2020,304221.151264,310965.551606
2021,316732.407295,322238.901169
2022,322981.728113,327556.850523
2023,326436.856286,330311.463135
2024,326136.489246,329390.179309
2025,329335.846095,331896.963282
2026,334134.954267,335856.170171
2027,337123.485086,338159.702848
2028,339169.224582,339599.679289
2029,336648.164391,336325.264444
2030,334492.740736,333646.712598
2031,335338.922373,333670.84842
2032,342375.148403,339888.352605
2033,346136.223192,342833.951613
2034,353890.261869,349700.104153
2035,358531.497899,353758.871104
2036,358550.542183,352971.728414
