year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,857607
2004,,0,0,0,0,0,919417
2005,,0,0,0,0,0,942543
2006,,0,0,0,0,0,972520
2007,,0,0,0,0,0,943618
2008,,0,0,0,0,0,904620
2009,,0,0,2657,0,0,885613
2010,,0,0,4016,0,0,892985
2011,,0,0,238706,0,0,790269
2012,,0,0,184590,0,0,843217
2013,,0,0,233402,0,0,757159
2014,start of forecast,0,0,218899,0,0,779101
2015,,0,0,212297,0,0,785703
2016,,0,0,221533,0,0,776467
2017,,0,0,217576,0,0,779424
2018,,0,0,217135,0,0,779865
2019,,0,0,218748,0,0,778252
2020,,0,0,217820,0,0,779180
2021,,0,0,217901,0,0,779099
2022,,0,0,218156,0,0,778844
2023,,0,0,217959,0,0,779041
2024,,0,0,218006,0,0,778994
2025,,0,0,218040,0,0,778960
2026,,0,0,218002,0,0,778998
2027,,0,0,218016,0,0,778984
2028,,0,0,218019,0,0,778981
2029,,0,0,218012,0,0,778988
2030,,0,0,218016,0,0,778984
2031,,0,0,218016,0,0,778984
2032,,0,0,218015,0,0,778985
2033,,0,0,218016,0,0,778984
2034,,0,0,218015,0,0,778985
2035,,0,0,218015,0,0,778985
2036,,0,0,218015,0,0,778985
2037,,0,0,218015,0,0,777985
2038,,0,0,218015,0,0,777985
2039,,0,0,218015,0,0,777985
2040,,0,0,218015,0,0,777985
