year,Base case diesel consumed,Modeled transmission and interties
2021,58450.5762048,-16347.6742556
2022,58431.4255636,-16366.8248967
2023,58446.2233911,-16352.0270693
2024,58442.7417198,-16355.5087406
2025,58440.1302249,-16358.1202355
2026,58443.0317786,-16355.2186818
2027,58441.9679078,-16356.2825526
2028,58441.7099704,-16356.54049
2029,58442.2365523,-16356.0139081
2030,58441.9714768,-16356.2789836
2031,58441.9726665,-16356.2777939
2032,58442.0602319,-16356.1902285
2033,58442.0014584,-16356.249002
2034,58442.0114522,-16356.2390082
2035,58442.0243808,-16356.2260796
2036,58442.0124305,-16356.2380299
2037,58366.9927674,-16356.2343725
2038,58366.9943126,-16356.2328273
2039,58366.9920634,-16356.2350766
2040,58366.9930478,-16356.2340922
