year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.88
2004,,1.66,3.21
2005,,1.85,3.65
2010,,2.89,4.96
2011,,3.06,4.96
2012,,3.54,5.47
2013,,3.83,5.47
2016,,1.83,4.03
2017,,2.17,4.37
2018,,2.43,4.63
2019,,2.78,4.98
2020,,2.95,5.15
2021,,3.07,5.27
2022,,3.15,5.35
2023,,3.21,5.41
2024,,3.26,5.46
2025,,3.32,5.52
2026,,3.39,5.59
2027,,3.45,5.65
2028,,3.5,5.7
2029,,3.57,5.77
2030,,3.61,5.81
2031,,3.68,5.88
2032,,3.75,5.95
2033,,3.83,6.03
2034,,3.91,6.11
2035,,3.95,6.15
2036,,4.03,6.23
2037,,4.08,6.28
2038,,4.16,6.36
2039,,4.22,6.42
2040,,4.31,6.51
