year,Base case cost,Modeled transmission and interties
2021,179443.268949,2204363.03851
2022,184058.990525,2180907.19997
2023,187612.377085,2156777.87424
2024,190523.338007,2133328.51099
2025,194021.232347,2110426.88535
2026,198121.877729,2088885.1085
2027,201624.789282,2067212.24745
2028,204545.984896,2046221.30251
2029,208638.784492,2026443.3546
2030,210975.517031,2005058.52901
2031,215066.459413,1987202.8686
2032,219157.725869,1969073.38843
2033,223832.865586,1951379.02017
2034,228508.264778,1935008.19584
2035,230845.996304,1917870.26379
2036,235521.310095,1901676.73654
2037,238137.330491,1885076.98863
2038,242806.696341,1869820.77436
2039,246308.706507,1855197.08686
2040,251561.740036,1841561.43813
