year,Base case diesel consumed,Modeled residential ashp
2017,221059.9751,112977.330248
2018,226801.970228,118719.325376
2019,230083.110301,122000.465449
2020,234184.535393,126101.89054
2021,238285.960484,130203.315632
2022,240746.815539,132664.170687
2023,242387.385576,134304.740723
2024,242387.385576,134304.740723
2025,243207.670594,135125.025741
2026,244027.955612,135945.31076
2027,246488.810667,138406.165815
2028,249769.95074,141687.305888
2029,241567.100557,133484.455705
2030,235825.105429,127742.460577
2031,232543.965356,124461.320504
