year,Base case cost,Melanson lake (melanson creek),Myrtle creek (niblack lake),"Collinson creek (moira sound, unnamed stream)",Kegan creek,Triangle lake (annette island),Weigle (weigle creek),Paul lake (tunnel creek),Tamgas lake  (tamgas creek),Triangle lake hydroelectric project
2021,0.0,477329.173352,4152922.91876,802963.671654,3937083.60394,5710337.82564,2537381.89578,1131827.3374,567697.475733,
2022,0.0,467245.401282,4065455.37311,787008.645362,3854323.80209,5590960.9209,2484513.00124,1108750.37006,555801.168958,
2023,0.0,457548.876221,3981286.74682,771437.452109,3774648.50695,5475883.15177,2433507.67079,1086370.38147,544339.794218,
2024,0.0,448074.366642,3899047.40072,756230.864939,3696800.79806,5363450.32243,2383676.06678,1064509.49612,533141.6177,
2025,0.0,438816.669081,3818692.11751,741380.338433,3620737.84154,5253600.44237,2334990.68011,1043155.54757,522200.470722,
2026,0.0,429706.740693,3739647.40443,726873.336772,3545932.58349,5145636.68621,2287159.97876,1022230.48756,511444.162272,
2027,0.0,420835.560985,3662664.14099,712707.996299,3473072.00958,5040454.36584,2240554.72908,1001821.96355,500966.0597,
2028,0.0,412198.283823,3587700.21505,698876.358425,3402116.22744,4937995.74778,2195149.31107,981918.644621,490760.41794,
2029,0.0,403694.234747,3513920.49944,685364.365219,3332298.44449,4837250.0211,2150521.70419,962410.215127,480722.376323,
2030,0.0,395510.675892,3442872.83649,672176.998447,3265036.28634,4740070.98736,2107441.47711,943484.369472,471044.956373,
2031,0.0,387355.268359,3372136.00139,659287.988708,3198109.09594,4643541.58808,2064693.76701,924832.804417,461425.056991,
2032,0.0,379415.488379,3303259.69692,646702.669364,3132936.26127,4549518.17539,2023049.27441,906643.714945,452055.953508,
2033,0.0,371623.07039,3235677.18479,634409.781093,3068997.12687,4457313.18392,1982220.57654,888840.870183,442866.376377,
2034,0.0,364005.791792,3169616.60687,622404.516399,3006499.70427,4367194.68271,1942317.78586,871447.525797,433884.426101,
2035,0.0,356655.48954,3105836.29375,610686.419774,2946138.0375,4280068.19873,1903716.20179,854553.334104,425204.48653,
2036,0.0,349344.290709,3042448.74108,599234.241245,2886180.84756,4193658.97317,1865468.29708,837917.338771,416590.221718,
2037,0.0,342356.106211,2981801.93577,588060.409312,2828779.41404,4110783.6593,1828744.3784,821828.137231,408334.741433,
2038,0.0,335367.306848,2921215.98459,577137.692989,2771476.15087,4028215.27931,1792200.89888,805945.956922,400102.679546,
2039,0.0,328630.004382,2862775.78421,566476.723531,2716181.21986,3948454.50504,1756876.79096,790526.73619,392154.277558,
2040,0.0,321948.669191,2804861.64912,556058.941846,2661408.93914,3869549.04177,1721958.77837,775363.450094,384286.712878,
2041,0.0,315767.469697,2751147.98196,545907.834787,2610526.56369,3795910.48156,1689280.70938,760910.94165,376958.932417,
2042,0.0,309731.142062,2698693.22884,535994.644292,2560836.74388,3723997.82505,1657368.5326,746797.163862,369802.896806,
2043,0.0,303836.290882,2647467.88422,526313.79424,2512311.52943,3653770.62173,1626204.2976,733014.1778,362814.580809,
2044,0.0,298079.600253,2597443.13342,516859.839075,2464923.6245,3585189.36822,1595770.47424,719554.230421,355990.053442,
2045,0.0,292457.832083,2548590.8379,507627.46102,2418646.37378,3518215.48811,1566049.94373,706409.750611,349325.475961,
2046,0.0,286967.824097,2500883.518,498611.466814,2373453.74606,3452811.30822,1537025.98812,693573.344529,342817.099506,
2047,0.0,281606.488187,2454294.33852,489806.784994,2329320.32067,3388940.03895,1508682.28153,681037.791746,336461.26314,
2048,0.0,276370.808587,2408797.09294,481208.462904,2286221.27243,3326565.75256,1481002.88057,668796.040981,330254.391689,
2049,0.0,271257.84018,2364366.18863,472811.663909,2244132.35774,3265653.36294,1453972.21531,656841.206137,324192.99373,
2050,0.0,266264.707004,2320976.63394,464611.664947,2203029.90227,3206168.60785,1427575.08146,645166.562815,318273.659827,
2051,0.0,261388.600394,2278604.022,456603.853472,2162890.78566,3148078.0268,1401796.63046,633765.543963,312493.060321,
2052,0.0,256626.777529,2237224.51813,448783.725074,2123692.42957,3091348.9437,1376622.3619,622631.736482,306847.943612,
2053,0.0,251976.559906,2196814.84653,441146.880963,2085412.78509,3035949.4487,1352038.11534,611758.877656,301335.134346,
2054,0.0,247435.331719,2157352.27627,433689.025323,2048030.31946,2981848.3789,1328030.06186,601140.851367,295951.531502,
2055,0.0,243000.538583,2118814.61013,426405.963199,2011524.00549,2929015.3031,1304584.69722,590771.685105,290694.106867,
2056,0.0,238669.685914,2081180.17057,419293.59785,1975873.30829,2877420.50255,1281688.83332,580645.546185,285559.903126,
2057,0.0,234440.337611,2044427.78824,412347.928572,1941058.17435,2827034.95522,1259329.59127,570756.73866,280546.032292,
2058,0.0,230310.114641,2008536.78973,405565.048391,1907059.01997,2777830.31895,1237494.39386,561099.700022,275649.674036,
2059,0.0,226276.693806,1973486.98678,398941.142018,1873856.72105,2729778.91673,1216170.95906,551668.998303,270868.074216,
2060,0.0,222337.806245,1939258.66335,392472.483407,1841432.60078,2682853.71894,1195347.29213,542459.328595,266198.54311,
2061,0.0,218491.236363,1905832.56628,386155.433986,1809768.42086,2637028.33049,1175011.67991,533465.510525,261638.454141,
2062,0.0,214734.820465,1873189.89337,379986.440414,1778846.37017,2592276.97462,1155152.6836,524682.485071,257185.242261,
2063,0.0,211066.445553,1841312.28301,373962.032611,1748649.05494,2548574.47851,1135759.13247,516105.31175,252836.40252,
2064,0.0,207484.048211,1810181.80443,368078.82192,1719159.48957,2505896.26005,1116820.11786,507729.166006,248589.488751,
2065,0.0,203985.613281,1779780.94621,362333.498936,1690361.08567,2464218.31202,1098324.98627,499549.336116,244442.111991,
2066,0.0,200569.172907,1750092.60801,356722.83194,1662237.64426,2423517.19075,1080263.33426,491561.220962,240391.93936,
2067,0.0,197232.805383,1721100.09048,351243.664998,1634773.34624,2383770.00235,1062625.00237,483760.327321,236436.692684,
2068,0.0,193974.633946,1692787.08484,345892.915986,1607952.74248,2344954.38836,1045400.06874,476142.267063,232574.147069,
2069,0.0,190792.82591,1665137.66534,340667.575169,1581760.7467,2307048.51542,1028578.84454,468702.755113,228802.129878,
2070,0.0,187685.591509,1638136.2792,335564.703292,1556182.62589,2270031.06149,1012151.86782,461437.606744,225118.51935,
