year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8245.71480952,5359.71462619
2018,8304.01462279,5397.60950481
2019,8336.41300505,5418.66845328
2020,8369.76150234,5440.34497652
2021,8409.1858772,5465.97082018
2022,8431.62424692,5480.5557605
2023,8447.61964918,5490.95277197
2024,8450.07321324,5492.54758861
2025,8455.53367541,5496.09688901
2026,8465.56926528,5502.62002243
2027,8489.25466097,5518.01552963
2028,8517.16428961,5536.15678825
2029,8439.91076142,5485.94199492
2030,8385.12799324,5450.3331956
2031,8356.48958318,5431.71822907
