year,Base case cost,Modeled non-residential energy efficiency
2017,430415.024486,429841.411556
2018,451731.891227,447443.904672
2019,480943.893798,472104.831817
2020,494365.624709,482744.373436
2021,503839.787705,489901.329179
2022,510945.409952,494980.253254
2023,515682.49145,497980.445521
2024,519630.059365,500306.493253
2025,524367.140863,503362.999949
2026,530683.249527,507851.949132
2027,535420.331025,510962.161541
2028,539367.89894,513395.650825
2029,544894.494021,517259.716576
2030,548052.548353,519040.5876
2031,554368.657017,523656.133968
