year,Base case diesel consumed,Modeled solar power (pv)
2016,65393.7284341,64256.6725858
2017,65706.6170868,64578.6576854
2018,65863.0614132,64744.125687
2019,66097.7279028,64987.7436624
2020,66332.3943924,65231.2900259
2021,66645.2830452,65552.9875136
2022,66801.7273716,65718.1702043
2023,67036.3938612,65961.5051512
2024,67271.0603508,66204.7707505
2025,67505.7268404,66447.9675569
2026,67896.8376564,66847.5404472
2027,68131.504146,67090.6013144
2028,68366.1706356,67333.5950267
2029,68679.0592884,67654.7442843
2030,68913.725778,67897.605294
2031,69304.836594,68296.8450738
2032,69617.7252468,68617.7976588
2033,69852.3917364,68860.4635691
2034,70165.2803892,69181.2876472
2035,70556.3912052,69580.2704052
