year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6992.12346798,5693.08430537
2018,6995.54070708,5695.86666904
2019,6999.59474191,5699.16752066
2020,7003.65438139,5702.47293566
2021,7007.99345304,5706.00586822
2022,7011.76231761,5709.07453024
2023,7015.43710402,5712.06659252
2024,7018.84700369,5714.84298032
2025,7022.78534239,5718.04963054
2026,7029.33344934,5723.38119041
2027,7033.83385502,5727.04548339
2028,7038.37883107,5730.74606619
2029,7042.95076284,5734.46859671
2030,7047.58381206,5738.2408899
2031,7054.20904975,5743.6352507
