year,Base case diesel consumed,Modeled transmission and interties
2021,133290.56609,66645.2830452
2022,133603.454743,66801.7273716
2023,134072.787722,67036.3938612
2024,134542.120702,67271.0603508
2025,135011.453681,67505.7268404
2026,135793.675313,67896.8376564
2027,136263.008292,68131.504146
2028,136732.341271,68366.1706356
2029,137358.118577,68679.0592884
2030,137827.451556,68913.725778
2031,138609.673188,69304.836594
2032,139235.450494,69617.7252468
2033,139704.783473,69852.3917364
2034,140330.560778,70165.2803892
2035,141112.78241,70556.3912052
2036,141582.11539,70791.0576948
2037,142051.448369,71025.7241844
2038,142677.225674,71338.6128371
2039,143303.00298,71651.5014899
2040,144085.224612,72042.6123059
