year,Base case cost,Modeled residential energy efficiency
2017,45725046.2426,50058251.8258
2018,49243913.731,52529812.5988
2019,54032590.0229,55969394.8549
2020,56538127.8894,57671644.169
2021,58297367.2203,58813602.7414
2022,59548887.3523,59556637.2915
2023,60516855.0587,60073394.6139
2024,61277620.5676,60440086.7068
2025,62087407.4086,60835734.4455
2026,63137534.5883,61425835.8076
2027,64120578.6257,61979906.2915
2028,64865784.0183,62352753.9243
2029,65514657.9982,62583006.2767
2030,65881730.5847,62613519.6411
2031,66871918.4017,63143579.7219
