year,Base case cost,Sheep creek,Water supply creek (hoonah),Turner lake (turner creek),Yehring creek,Tease creek (tease lake),Treadwell ditch,Sawmill creek,Sweetheart lake -- sweetheart falls creek,Peterson lake,Rhine creek,Davidson creek,Davies creek,"Funter bay (s funter bay creek; 58.13', 134.52') -- south funter bay creek","Greens creek (hawk inlet; 58.04', 134.43')",Bear creek (taku harbor),Boundary lake (boundary creek),Carlson creek,Cowee creek,Lemon creek,Nugget creek
2021,282347.64207,2981539.80899,890185.522498,5129308.97851,6645812.98132,22958618.4946,5058912.48675,2372685.71548,12227494.9864,3551650.18302,2113225.22581,380769.339357,3647218.07576,646426.271986,907134.401148,257043.351249,25414198.0778,12459256.7223,785346.944695,6255998.22923,7893456.94384
2022,291116.202383,2918883.16042,871799.915625,5021931.54086,6503548.97608,22477890.284,4952898.08077,2323777.34717,11926279.7513,3477171.12981,2068752.73026,377780.404026,3571407.88953,642835.457628,898841.56375,258544.508918,24873076.5581,12198198.1796,769477.358077,6124797.09014,7729091.45164
2023,298131.050633,2858180.92135,853940.796709,4917880.58588,6365999.80968,22012145.9468,4850178.21134,2276298.70766,11638761.3753,3405004.55615,2025666.73396,374367.200832,3497887.73085,638348.630522,889725.919637,259292.109293,24349681.8054,11945282.7561,754025.065503,5997688.31895,7569746.41531
2024,303392.186821,2799400.17908,836598.361773,4817099.63844,6233091.61556,21561132.9281,4750697.15221,2230223.80782,11364795.0186,3335111.30591,1983943.8739,370526.549396,3426617.54527,632960.767761,879779.747398,259284.741739,23843732.2142,11700373.3215,738981.489058,5874602.9971,7415335.16445
2025,309530.17904,2741683.21628,819600.647464,4718157.58753,6102406.6177,21118289.421,4653024.52347,2185045.68358,11092962.0563,3266489.96886,1942976.55168,367095.253574,3356686.204,628332.392119,870723.798959,259741.629216,23346382.1723,11459896.0593,724261.199701,5753745.27157,7263788.29406
2026,317421.883321,2684723.45742,802884.175591,4620541.92874,5973092.50124,20681269.5477,4556648.53472,2140579.02527,10819365.3178,3198782.15084,1902547.5621,364350.250651,3287764.84254,625013.856709,863126.809107,261068.293471,22854506.2887,11222573.5772,709830.333998,5634473.24259,7114361.57191
2027,324436.731571,2629315.83843,786602.208305,4525576.04612,5847426.14087,20256153.3633,4462893.26739,2097281.22234,10555147.1442,3132914.57123,1863219.93837,361448.670164,3220688.18533,621335.057505,855253.297237,262042.820742,22376413.01,10991718.1138,695757.958514,5518451.30022,6968959.07817
2028,329697.867759,2575705.62392,770799.96061,4433667.24026,5726122.25029,19844816.2777,4372166.70309,2055289.17099,10303934.8928,3069172.68276,1825167.36427,358107.650312,3155710.48208,616736.284544,846520.144849,262257.0615,21914703.1425,10768351.6104,682061.957442,5406192.96036,6828163.59247
2029,336712.716009,2522762.81284,755252.205742,4342930.73726,5605987.70031,19438613.7435,4282584.73277,2013937.67562,10050563.6774,3006237.47792,1787589.37816,355444.245874,3091633.47228,613433.647091,839224.883606,263337.230195,21457699.0883,10547765.7345,668631.975654,5295332.27658,6689251.77961
2030,341096.996166,2471834.83252,740221.093039,4255610.84362,5490867.85576,19047852.1011,4196392.31252,1974006.8458,9813703.23268,2945680.29778,1751440.36449,352055.850234,3029875.78716,608647.07743,830480.332395,263247.7697,21019441.063,10335574.7719,655588.99707,5188690.4183,6555456.44656
2031,349865.556478,2420692.2538,725265.275988,4167990.47189,5374445.07366,18655476.8568,4109872.98896,1934190.43191,9563158.32944,2884899.49985,1715141.10209,350179.527236,2968078.11268,606813.459918,824888.727042,265242.41927,20576835.4573,10122489.4393,642720.279548,5081599.51181,6421411.43196
2032,357757.26076,2370959.02526,710701.429591,4082774.86256,5261349.58228,18273909.6077,4025732.62201,1895430.12114,9321363.61185,2825789.06383,1679841.84663,348132.828809,2907951.36878,604597.787044,818987.100821,266878.811904,20146790.7289,9915276.19422,630172.837498,4977459.69314,6291014.63174
2033,365648.965041,2322333.36871,696467.504692,3999459.74309,5150739.83362,17900841.2884,3943467.54395,1857544.39201,9084443.02143,2767996.30299,1645328.79834,346193.155811,2849172.5293,602551.144066,813345.313996,268562.674965,19726222.5338,9712677.63225,617914.057808,4875639.10814,6163534.44679
2034,374417.525354,2274514.13366,682501.639099,3917541.91794,5041775.6883,17533967.6499,3862575.14982,1820352.21868,8848523.2619,2711169.2773,1611388.60297,344637.969751,2791419.33195,601224.712029,808533.374088,270699.762717,19312051.8987,9513438.96437,605911.490954,4775507.21698,6038240.93085
2035,380555.517573,2228576.74658,669012.803006,3838812.51615,4937527.7929,17181514.4627,3784847.14557,1784475.70255,8628529.05154,2656562.06709,1578782.98256,342344.942272,2735823.62051,598394.052882,802240.94609,271661.52165,18915489.4743,9322041.13885,594261.268497,4679315.68801,5917713.70566
2036,389324.077886,2182845.28343,655668.839045,3760477.11213,4833249.26963,16830661.2968,3707489.66879,1748932.11457,8401797.01596,2602218.85753,1546324.78675,340991.499019,2680611.2214,597386.241998,797918.803138,273888.091102,18519182.0935,9131501.14325,582802.82985,4583555.54956,5797918.00605
2037,394585.214073,2139221.93197,642841.459632,3685704.82828,4734359.06592,16495958.1889,3633672.39205,1714826.07614,8194534.26912,2550358.31086,1515361.36194,338615.516475,2627787.43397,594311.594257,791528.595932,274530.367827,18142921.1552,8949744.7643,571709.667658,4492209.5017,5683421.34092
2038,403353.774386,2095481.5241,630090.587532,3610785.88871,4634549.10194,16160383.3427,3559686.07658,1680854.70234,7976564.33357,2498383.85396,1484316.51165,337454.470235,2574998.12989,593607.64431,787673.559953,276842.273712,17763649.5084,8767500.47252,560770.150324,4400618.59328,5568868.76974
2039,410368.622636,2053252.1722,617734.138058,3538432.67865,4538458.95089,15836390.306,3488243.63227,1647962.96827,7770340.17731,2448194.42021,1454343.44723,335826.314581,2523959.29639,591940.020099,782891.705317,278381.620214,17398311.2367,8591552.07367,550132.377457,4312191.6793,5458169.15317
