year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,271387.24,21639074.68,31378463.03,103373.81,23831825.1,14346583.21
2018,303999.12,24144149.29,34826943.23,103872.75,23836673.04,14416970.5
2019,349186.83,27651253.74,39562023.26,104262.02,23843460.17,14470566.76
2020,372302.07,29404805.96,42020503.13,104596.11,23846853.73,14517624.76
2021,388141.84,30573840.78,43732237.38,104934.51,23849116.1,14565129.85
2022,399448.98,31408865.65,44952391.7,105159.13,23850732.09,14596495.65
2023,408346.06,32076885.54,45902690.15,105285.86,23852024.87,14614164.9
2024,415166.23,32577900.46,46643732.33,105421.43,23852994.46,14633888.24
2025,422798.17,33162417.87,47446073.36,105479.77,23854125.65,14641334.05
2026,432625.27,33913940.25,48485179.5,105556.25,23855580.03,14652355.09
2027,441615.39,34581960.15,49449422.55,105693.03,23856872.82,14671156.07
2028,448386.09,35082975.07,50179400.45,105800.11,23857842.41,14686383.57
2029,455761.66,35750994.96,50871374.7,105491.09,23859135.19,14643283.3
2030,460188.79,36168507.4,51271718.75,105254.97,23859943.18,14610011.83
2031,470248.19,37003532.27,52281178.85,105114.21,23861559.17,14590739.55
