year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9566.61496434,6218.29972682
2018,9566.25573255,6218.06622616
2019,9566.64792506,6218.32115129
2020,9567.08989225,6218.60842996
2021,9567.18397042,6218.66958077
2022,9567.99077406,6219.19400314
2023,9569.04685146,6219.88045345
2024,9570.38783224,6220.75209096
2025,9571.28391005,6221.33454153
2026,9571.17275103,6221.26228817
2027,9570.41799063,6220.77169391
2028,9570.05889228,6220.53827998
2029,9570.50045914,6220.82529844
2030,9569.9907023,6220.49395649
2031,9569.1333233,6219.93666015
