year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,70032.2516343,51823.8662094
2018,70032.2516343,51823.8662094
2019,70032.2516343,51823.8662094
2020,70032.2516343,51823.8662094
2021,70032.2516343,51823.8662094
2022,70032.2516343,51823.8662094
2023,70032.2516343,51823.8662094
2024,70032.2516343,51823.8662094
2025,70032.2516343,51823.8662094
2026,70032.2516343,51823.8662094
2027,70032.2516343,51823.8662094
2028,70032.2516343,51823.8662094
2029,70032.2516343,51823.8662094
2030,70032.2516343,51823.8662094
2031,70032.2516343,51823.8662094
