year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,4.0
2003,,1.91,
2004,,2.22,4.5
2005,,2.43,4.5
2011,,6.09,9.3
2012,,5.5,9.48
2013,,3.82,9.65
2014,,2.94,9.65
2016,start of forecast,2.3,5.03
2017,,2.73,5.46
2018,,3.06,5.79
2019,,3.5,6.23
2020,,3.71,6.44
2021,,3.85,6.58
2022,,3.96,6.69
2023,,4.04,6.77
2024,,4.1,6.83
2025,,4.17,6.9
2026,,4.26,6.99
2027,,4.34,7.07
2028,,4.4,7.13
2029,,4.48,7.21
2030,,4.54,7.27
2031,,4.63,7.36
2032,,4.72,7.45
2033,,4.81,7.54
2034,,4.91,7.64
2035,,4.97,7.7
2036,,5.07,7.8
2037,,5.13,7.86
2038,,5.23,7.96
2039,,5.31,8.04
2040,,5.41,8.14
