year,Base case cost,Modeled water and wastewater efficiency
2017,117098.376226,92462.5188308
2018,123336.266369,96594.1977218
2019,131669.756959,102197.327193
2020,135652.658064,104762.782744
2021,138304.027714,106401.941747
2022,140402.809519,107659.929581
2023,141939.54265,108529.830038
2024,143104.231209,109144.43948
2025,144449.062626,109889.576441
2026,146150.854778,110888.572405
2027,147648.937668,111749.29804
2028,148776.913183,112355.690406
2029,150301.50166,113244.105283
2030,151425.920379,113856.395053
2031,153110.095036,114864.132933
