year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,122080.16,9566.61,70032.25,30552.65
2018,122006.54,9566.26,70032.25,30552.65
2019,122080.16,9566.65,70032.25,30552.65
2020,122153.79,9567.09,70032.25,30552.65
2021,122153.79,9567.18,70032.25,30552.65
2022,122227.41,9567.99,70032.25,31789.76
2023,122448.28,9569.05,70032.25,31789.76
2024,122595.53,9570.39,70032.25,31789.76
2025,122742.78,9571.28,70032.25,31789.76
2026,122742.78,9571.17,70032.25,31789.76
2027,122595.53,9570.42,70032.25,31789.76
2028,122595.53,9570.06,70032.25,31789.76
2029,122669.15,9570.5,70032.25,31789.76
2030,122521.91,9569.99,70032.25,31789.76
2031,122448.28,9569.13,70032.25,31789.76
2032,122448.28,,,31789.76
2033,122374.66,,,31789.76
2034,122301.04,,,31789.76
2035,122301.04,,,31789.76
2036,122301.04,,,31789.76
