year,Base case diesel consumed,Landlocked creek,Port heiden (barabara creek),Port heiden (reindeer creek)
2021,86152.1325345,0.0,0.0,0.0
2022,86152.1325345,0.0,0.0,0.0
2023,86015.8158691,0.0,0.0,0.0
2024,86015.8158691,0.0,0.0,0.0
2025,86015.8158691,0.0,0.0,0.0
2026,86015.8158691,0.0,0.0,0.0
2027,86015.8158691,0.0,0.0,0.0
2028,86015.8158691,0.0,0.0,0.0
2029,86152.1325345,0.0,0.0,0.0
2030,86152.1325345,0.0,0.0,0.0
2031,86152.1325345,0.0,0.0,0.0
2032,86152.1325345,0.0,0.0,0.0
2033,86152.1325345,0.0,0.0,0.0
2034,86152.1325345,0.0,0.0,0.0
2035,86152.1325345,0.0,0.0,0.0
2036,86152.1325345,0.0,0.0,0.0
2037,86152.1325345,0.0,0.0,0.0
2038,86152.1325345,0.0,0.0,0.0
2039,86288.4491999,136.316665403,136.316665403,136.316665403
2040,86152.1325345,0.0,0.0,0.0
2041,86152.1325345,0.0,0.0,0.0
2042,86152.1325345,0.0,0.0,0.0
2043,86288.4491999,136.316665403,136.316665403,136.316665403
2044,86288.4491999,136.316665403,136.316665403,136.316665403
2045,86288.4491999,136.316665403,136.316665403,136.316665403
2046,86288.4491999,136.316665403,136.316665403,136.316665403
2047,86288.4491999,136.316665403,136.316665403,136.316665403
2048,86288.4491999,136.316665403,136.316665403,136.316665403
2049,86424.7658653,272.633330805,272.633330805,272.633330805
2050,86424.7658653,272.633330805,272.633330805,272.633330805
2051,86424.7658653,272.633330805,272.633330805,272.633330805
2052,86424.7658653,272.633330805,272.633330805,272.633330805
2053,86424.7658653,272.633330805,272.633330805,272.633330805
2054,86424.7658653,272.633330805,272.633330805,272.633330805
2055,86424.7658653,272.633330805,272.633330805,272.633330805
2056,86424.7658653,272.633330805,272.633330805,272.633330805
2057,86424.7658653,272.633330805,272.633330805,272.633330805
2058,86424.7658653,272.633330805,272.633330805,272.633330805
2059,86424.7658653,272.633330805,272.633330805,272.633330805
2060,86424.7658653,272.633330805,272.633330805,272.633330805
2061,86424.7658653,272.633330805,272.633330805,272.633330805
2062,86424.7658653,272.633330805,272.633330805,272.633330805
2063,86424.7658653,272.633330805,272.633330805,272.633330805
2064,86424.7658653,272.633330805,272.633330805,272.633330805
2065,86424.7658653,272.633330805,272.633330805,272.633330805
2066,86424.7658653,272.633330805,272.633330805,272.633330805
2067,86424.7658653,272.633330805,272.633330805,272.633330805
2068,86424.7658653,272.633330805,272.633330805,272.633330805
2069,86424.7658653,272.633330805,272.633330805,272.633330805
2070,86424.7658653,272.633330805,272.633330805,272.633330805
