year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.8
2004,,1.78,1.92
2005,,2.1,2.5
2012,,4.6,6.2
2013,,4.22,5.91
2014,,4.14,5.76
2016,start of forecast,4.07,5.35
2017,,4.7,5.98
2018,,5.16,6.44
2019,,5.77,7.05
2020,,6.05,7.33
2021,,6.24,7.52
2022,,6.39,7.67
2023,,6.48,7.76
2024,,6.57,7.85
2025,,6.66,7.94
2026,,6.78,8.06
2027,,6.88,8.16
2028,,6.96,8.24
2029,,7.07,8.35
2030,,7.14,8.42
2031,,7.26,8.54
2032,,7.38,8.66
2033,,7.5,8.78
2034,,7.63,8.91
2035,,7.7,8.98
2036,,7.83,9.11
2037,,7.91,9.19
2038,,8.03,9.31
2039,,8.13,9.41
2040,,8.27,9.55
