year,Base case cost,Landlocked creek,Port heiden (barabara creek),Port heiden (reindeer creek)
2021,537589.307015,1401443.49992,1007596.52106,1130245.83726
2022,550512.126896,1370918.69254,988301.152142,1109851.0538
2023,557382.486832,1340698.07954,968399.91374,1088624.60936
2024,565123.91026,1312018.49222,949821.99779,1068761.94122
2025,572865.333688,1283993.16492,931685.741028,1049380.43796
2026,583187.231593,1256351.9312,914069.527796,1030691.16612
2027,591788.813179,1229504.53648,896815.356357,1012312.53958
2028,598670.078449,1203436.35688,879913.354845,994233.803444
2029,609095.577019,1178672.14997,864465.534613,977778.786916
2030,615126.226296,1153874.60192,848337.45532,960500.455289
2031,625464.482201,1129226.62981,832747.163257,944016.856807
2032,635802.738105,1105132.83748,817530.971074,927940.820837
2033,646140.994009,1081580.23613,802680.110656,912262.794971
2034,657340.771238,1058472.56107,788216.961544,897048.928903
2035,663371.420516,1036382.49105,773916.569284,881761.767974
2036,674571.197745,1014294.95963,760142.069638,867298.14996
2037,681463.368348,993117.542826,746545.128435,852819.130993
2038,691801.624252,972086.476892,733396.43422,838995.527356
2039,701525.091995,952800.235721,721610.985887,826474.441485
2040,712478.13606,931421.568926,708042.243845,812375.885684
2041,712478.13606,912768.95126,695450.766784,798658.121271
2042,712478.13606,894553.504307,683154.402459,785261.866952
2043,713605.474883,877892.320791,672273.573047,773306.926223
2044,713605.474883,860520.716878,660546.846209,760531.262548
2045,713605.474883,843556.259996,649094.964576,748055.028539
2046,713605.474883,826989.407552,637911.486405,735871.206249
2047,713605.474883,810810.840751,626990.12103,723972.942323
2048,713605.474883,795011.45911,616324.725156,712353.543958
2049,714732.813706,780709.714154,607036.638222,702133.813958
2050,714732.813706,765642.24963,596865.324078,691052.692138
2051,714732.813706,750927.928827,586932.400122,680231.284125
2052,714732.813706,736558.474908,577232.279066,669663.502856
2053,714732.813706,722525.805119,567759.504632,659343.403999
2054,714732.813706,708822.02591,558508.74827,649265.182373
2055,714732.813706,695439.429072,549474.806541,639423.1691
2056,714732.813706,682370.486859,540652.597829,629811.828021
2057,714732.813706,669607.847995,532037.159645,620425.752761
2058,714732.813706,657144.33343,523623.645759,611259.663603
2059,714732.813706,644972.932586,515407.323672,602308.404732
2060,714732.813706,633086.798869,507383.57158,593566.940932
2061,714732.813706,621479.246419,499547.876182,585030.355196
2062,714732.813706,610143.745985,491895.829899,576693.845691
2063,714732.813706,599073.921308,484423.128427,568552.723103
2064,714732.813706,588263.545747,477125.568465,560602.40815
2065,714732.813706,577706.538284,469999.045009,552838.428644
2066,714732.813706,567396.960648,463039.549424,545256.417383
2067,714732.813706,557329.013821,456243.167073,537852.109572
2068,714732.813706,547497.034418,449606.074879,530621.340166
2069,714732.813706,537895.492058,443124.539551,523560.041937
2070,714732.813706,528518.985873,436794.915224,516664.242904
