year,Base case diesel consumed,Modeled solar power (pv)
2016,86152.1325345,84851.0951885
2017,86152.1325345,84861.5034873
2018,86152.1325345,84871.8285196
2019,86152.1325345,84882.0709518
2020,86152.1325345,84892.2314444
2021,86152.1325345,84902.3106532
2022,86152.1325345,84912.3092282
2023,86015.8158691,84785.9111492
2024,86015.8158691,84795.750387
2025,86015.8158691,84805.5109109
2026,86015.8158691,84815.1933505
2027,86015.8158691,84824.7983307
2028,86015.8158691,84834.326471
2029,86152.1325345,84980.0950516
2030,86152.1325345,84989.4713514
2031,86152.1325345,84998.7726409
2032,86152.1325345,85007.9995201
2033,86152.1325345,85017.1525842
2034,86152.1325345,85026.2324238
2035,86152.1325345,85035.2396247
