year,Base case cost,Modeled solar power (pv)
2016,350639.179415,352940.295246
2017,404915.022912,406284.314777
2018,444545.003878,445216.59637
2019,497097.804724,496893.936358
2020,521220.401834,520572.438664
2021,537589.307015,536618.448873
2022,550512.126896,549274.735662
2023,557382.486832,555958.209323
2024,565123.91026,563517.307254
2025,572865.333688,571080.871294
2026,583187.231593,581193.26459
2027,591788.813179,589614.020982
2028,598670.078449,596342.473101
2029,609095.577019,606583.912423
2030,615126.226296,612481.40375
2031,625464.482201,622632.396728
2032,635802.738105,632787.798417
2033,646140.994009,642947.522425
2034,657340.771238,653961.746432
2035,663371.420516,659878.190956
