year,Base case cost,Modeled residential energy efficiency
2017,596187.057364,574574.919361
2018,634737.989109,606809.541866
2019,685663.16752,648973.388106
2020,726435.192733,685670.3751
2021,751264.813331,707647.468945
2022,772457.938042,726803.074547
2023,790863.904757,743782.777884
2024,808435.480101,760131.841763
2025,827245.002868,777515.101153
2026,848410.848315,796847.179401
2027,879411.935198,826422.002908
2028,897865.35525,843652.911494
2029,918764.777104,862922.318061
2030,936458.538389,879597.319791
2031,958954.624156,900259.63836
2032,994015.937052,933487.184057
2033,1017184.61624,954822.096046
2034,1040622.3328,976426.045404
2035,1060615.24446,995196.445597
2036,1085799.09013,1018342.77216
