year,annotation,line losses
2002,,0.309
2003,,0.178
2004,,-2.361
2005,,-inf
2006,,-inf
2007,,0.173
2008,,0.223
2009,,0.246
2010,,0.115
2011,,0.148
2012,,0.153
2013,,0.183
2016,start of forecast,0.1611
2017,,0.1611
2018,,0.1611
2019,,0.1611
2020,,0.1611
2021,,0.1611
2022,,0.1611
2023,,0.1611
2024,,0.1611
2025,,0.1611
2026,,0.1611
2027,,0.1611
2028,,0.1611
2029,,0.1611
2030,,0.1611
2031,,0.1611
2032,,0.1611
2033,,0.1611
2034,,0.1611
2035,,0.1611
2036,,0.1611
2037,,0.1611
2038,,0.1611
2039,,0.1611
2040,,0.1611
