year,Base case cost,Modeled non-residential energy efficiency
2017,516991.629314,545683.463383
2018,544523.844456,571261.413228
2019,582713.691265,606740.504948
2020,600476.410711,623242.408074
2021,612910.314323,634793.740262
2022,621791.674046,643044.691825
2023,628008.625852,648820.357919
2024,633337.441686,653770.928857
2025,639554.393492,659546.594951
2026,647547.617242,666972.451357
2027,653764.569049,672748.117451
2028,659093.384882,677698.688389
2029,666198.472661,684299.449639
2030,670639.152522,688424.925421
2031,678632.376273,695850.781827
