year,Base case diesel consumed,Modeled transmission and interties
2021,114026.515349,57013.2576747
2022,114853.793574,57426.8967872
2023,115681.071799,57840.5358997
2024,116646.229729,58323.1148643
2025,117749.267362,58874.633681
2026,118576.545587,59288.2727935
2027,119541.703516,59770.8517581
2028,120506.861445,60253.4307227
2029,121472.019375,60736.0096873
2030,122437.177304,61218.5886519
2031,123402.335233,61701.1676165
2032,124367.493162,62183.7465811
2033,125194.771387,62597.3856936
2034,126159.929316,63079.9646582
2035,127262.96695,63631.4834749
2036,128228.124879,64114.0624395
2037,129331.162512,64665.5812562
2038,130709.959554,65354.9797771
2039,131675.117483,65837.5587417
2040,133053.914525,66526.9572625
