year,Base case diesel consumed,Modeled residential energy efficiency
2017,4062.10646778,3492.27512369
2018,4062.10646778,3492.27512369
2019,4062.10646778,3492.27512369
2020,4062.10646778,3492.27512369
2021,4062.10646778,3492.27512369
2022,4062.10646778,3492.27512369
2023,2989.37892285,2419.54757876
2024,2989.37892285,2419.54757876
2025,2989.37892285,2419.54757876
2026,2989.37892285,2419.54757876
2027,2989.37892285,2419.54757876
2028,2989.37892285,2419.54757876
2029,2989.37892285,2419.54757876
2030,2989.37892285,2419.54757876
2031,2989.37892285,2419.54757876
2032,2989.37892285,2419.54757876
2033,2989.37892285,2419.54757876
2034,1916.65137792,1346.82003383
2035,1916.65137792,1346.82003383
2036,1916.65137792,1346.82003383
