year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,40107.0,32442.7025354
2018,40107.0,32442.7025354
2019,40107.0,32442.7025354
2020,40107.0,32442.7025354
2021,40107.0,32442.7025354
2022,40107.0,32442.7025354
2023,39033.0,31368.7025354
2024,39033.0,31368.7025354
2025,39033.0,31368.7025354
2026,39033.0,31368.7025354
2027,39033.0,31368.7025354
2028,39032.0,31367.7025354
2029,39032.0,31367.7025354
2030,39032.0,31367.7025354
2031,39032.0,31367.7025354
2032,39032.0,31367.7025354
2033,39031.0,31366.7025354
2034,37959.0,30294.7025354
2035,37959.0,30294.7025354
2036,37958.0,30293.7025354
