year,Base case cost,Modeled biomass for heat (pellet)
2017,140807.342537,148408.819888
2018,151636.232537,156951.294448
2019,167277.962537,169391.980542
2020,174497.222537,175024.6671
2021,179711.132537,179040.070092
2022,183721.832537,182086.929859
2023,181534.37172,179170.184542
2024,183486.02172,180550.354357
2025,186218.33172,182562.310693
2026,189340.97172,184892.263105
2027,192073.28172,186912.736548
2028,194019.960928,188304.974581
2029,197142.520928,190647.177597
2030,199094.120928,192052.268598
2031,202216.680928,194402.217879
2032,205729.560928,197069.581692
2033,208846.770136,199421.567596
2034,206527.030903,196263.52645
2035,208804.570903,197936.174282
2036,212215.290111,200515.47164
