year,Base case cost,Modeled biomass for heat (cordwood)
2017,140807.342537,152501.449741
2018,151636.232537,161099.358581
2019,167277.962537,173682.19938
2020,174497.222537,179313.759256
2021,179711.132537,183296.16369
2022,183721.832537,186292.018596
2023,181534.37172,183306.194233
2024,183486.02172,184606.112068
2025,186218.33172,186554.448925
2026,189340.97172,188830.383596
2027,192073.28172,190792.444209
2028,194019.960928,192114.84649
2029,197142.520928,194410.569667
2030,199094.120928,195750.673985
2031,202216.680928,198058.878848
2032,205729.560928,200693.750584
2033,208846.770136,203008.508118
2034,206527.030903,199822.385099
2035,208804.570903,201448.176313
2036,212215.290111,204003.597696
