year,Base case cost,Modeled water and wastewater efficiency
2017,41269.2177247,31710.0346815
2018,44622.8933695,33947.8122248
2019,49286.5146363,37059.6515601
2020,51516.8381304,38548.1419957
2021,52998.4389645,39537.1459482
2022,54108.576041,40278.2502018
2023,54939.8232695,40833.2352579
2024,55581.3512182,41261.737988
2025,56319.4865008,41754.6094383
2026,57242.5736874,42370.9802202
2027,58076.2915495,42927.5832946
2028,58717.2045601,43355.7569579
2029,59546.4766805,43909.5857675
2030,60095.1067264,44276.1613761
2031,61010.5116929,44887.7868313
