year,Base case cost,"Atka (unnamed stream, site #4) -- unnamed creek 4","Atka (unnamed stream, site #3) -- unnamed creek 3","Atka (unnamed stream, site #2) -- unnamed creek 2","Atka (unnamed stream, site #1) -- unnamed creek 1",Chuniisax creek (atka)
2020,9699.89729476,,,,,522698.072783
2021,10155.5971677,108166.68,685104.312947,508524.350203,1070075.11112,521821.574072
2022,10481.0970769,108098.341318,683561.181414,506452.145002,1067121.11647,521195.503565
2023,10719.7970103,108048.226285,682429.551624,504932.527854,1064954.85373,520736.385192
2024,10915.0969558,108007.223075,681503.672704,503689.204733,1063182.45694,520360.742888
2025,10571.5118971,107401.078956,679914.33335,501747.149601,1060652.54217,519382.777551
2026,10839.4059607,107327.64624,678562.746831,499937.032569,1058078.20762,518825.977254
2027,11066.0855531,107265.510865,677419.096699,498405.39508,1055899.92454,518354.83854
2028,11251.5506741,107214.672831,676483.382954,497152.237134,1054117.69292,517969.361411
2029,11519.4447377,107141.240116,675131.796435,495342.120102,1051543.35837,517412.561114
2030,11045.1942003,106483.198236,673785.517891,493748.940513,1049538.67704,516494.244382
2031,11298.8824063,106395.559663,672419.725514,491924.617623,1046950.13663,515923.238226
2032,11572.0850897,106301.179661,670948.872184,489959.962203,1044162.47772,515308.308521
2033,11845.2877731,106206.799659,669478.018855,487995.306783,1041374.81882,514693.378815
2034,12118.4904565,106112.419657,668007.165526,486030.651363,1038587.15991,514078.44911
2035,11605.6830358,105363.309081,666373.17924,484079.220876,1036106.65576,512994.699439
2036,11882.0088224,105245.796276,664780.873584,481957.841552,1033103.48699,512319.454808
2037,12047.8042943,105175.288594,663825.490191,480685.013958,1031301.58572,511914.30803
2038,12324.1300809,105057.775789,662233.184535,478563.634634,1028298.41695,511239.0634
2039,11783.6933598,104228.524101,660322.41809,476264.880831,1025353.01756,510000.808373
2040,12078.2856938,104076.766031,658499.228122,473842.07404,1021930.84939,509216.954235
2041,12078.2856938,104076.766031,658499.228122,473842.07404,1021930.84939,509216.954235
2042,11316.6331718,103315.113509,657737.5756,473080.421518,1021169.19687,508455.301713
2043,11316.6331718,103315.113509,657737.5756,473080.421518,1021169.19687,508455.301713
2044,10554.9806498,102553.460987,656975.923078,472318.768996,1020407.54435,507693.649191
2045,10554.9806498,102553.460987,656975.923078,472318.768996,1020407.54435,507693.649191
2046,9793.3281278,101791.808465,656214.270557,471557.116474,1019645.89183,506931.996669
2047,9793.3281278,101791.808465,656214.270557,471557.116474,1019645.89183,506931.996669
2048,9793.3281278,101791.808465,656214.270557,471557.116474,1019645.89183,506931.996669
2049,9031.67560581,101030.155943,655452.618035,470795.463952,1018884.2393,506170.344147
2050,8270.02308381,100268.503421,654690.965513,470033.81143,1018122.58678,505408.691625
