year,Base case diesel consumed,Modeled non-residential ashp
2017,6980.81912305,-1650.50143159
2018,7541.84952099,-1089.47103365
2019,7541.84952099,-1089.47103365
2020,7541.84952099,-1089.47103365
2021,7541.84952099,-1089.47103365
2022,7541.84952099,-1089.47103365
2023,7541.84952099,-1089.47103365
2024,7541.84952099,-1089.47103365
2025,7541.84952099,-1089.47103365
2026,7541.84952099,-1089.47103365
2027,7541.84952099,-1089.47103365
2028,7541.84952099,-1089.47103365
2029,7541.84952099,-1089.47103365
2030,7541.84952099,-1089.47103365
2031,7541.84952099,-1089.47103365
